subject,ecg_ratio_change,sham_ratio_change,ecg_removed_variance_fraction,sham_removed_variance_fraction
n1,0.01794112721202991,-0.00292408906045305,0.0242408960976348,0.004643178503691059
n10,-0.010874737595237889,0.0015075011398455462,0.01824475881265525,0.004072408732740063
n11,0.001489817773904445,-0.000303007368709772,0.009884776259178274,0.00290698739651174
n13,-0.005632168879793689,-0.0022251135657539375,0.012661501311113765,0.006802288578224069
n14,0.0041514015918800475,-0.004727601551736335,0.005031621034789435,0.003652428236463945
n15,0.002733130195233517,-0.0038145398426363553,0.010095210829146883,0.005172249501976034
n16,,,,
n2,0.002875052381160814,3.712420198942468e-05,0.013450960807311896,0.004700741330917635
n3,3.323462441055802e-05,-0.0002492490297576616,0.012182969352053374,0.003636005084446392
n4,0.00040868603600918707,-0.00047400970735680687,0.007149961594996812,0.003541806578754525
n5,0.018185990987573813,0.00016975516345985042,0.047175588606141405,0.004323797124755002
