subject,group,window,fit_valid,candidate_peak_hz,individualized_log_ratio
sub-001,A,first60,True,,
sub-001,A,middle60,True,6.074925016790433,-0.08479268848896027
sub-001,A,last60,True,4.6191993302739895,-0.09838278591632843
sub-002,A,first60,True,8.535152603049037,0.476467490196228
sub-002,A,middle60,True,8.608085009276854,0.5111886262893677
sub-002,A,last60,True,8.507039817529186,0.4541085958480835
sub-003,A,first60,True,8.539803350880897,0.3422848582267761
sub-003,A,middle60,True,8.817448411343282,0.05895969271659851
sub-003,A,last60,True,8.494371943551025,0.19437305629253387
sub-004,A,first60,True,5.850330694242894,-0.03494522348046303
sub-004,A,middle60,True,9.913058793060069,-0.01890888810157776
sub-004,A,last60,True,4.625000000000143,0.053687941282987595
sub-005,A,first60,True,12.755267984721902,0.15554003417491913
sub-005,A,middle60,True,,
sub-005,A,last60,True,5.125000000000001,0.04334162920713425
sub-006,A,first60,True,10.78019120721217,-0.11600717157125473
sub-006,A,middle60,True,11.362667616515767,0.42723798751831055
sub-006,A,last60,True,11.422794934142464,-0.03507275879383087
sub-007,A,first60,True,6.971009095164168,-0.04757462441921234
sub-007,A,middle60,True,8.26560018535948,0.011356237344443798
sub-007,A,last60,True,5.378870271387423,-0.19230327010154724
sub-008,A,first60,True,8.752955559134659,0.18037031590938568
sub-008,A,middle60,True,8.317743109270003,0.16236017644405365
sub-008,A,last60,True,8.692831416814425,0.0023377013858407736
sub-009,A,first60,True,10.39724529496764,0.030092410743236542
sub-009,A,middle60,True,11.634903041722621,0.13947007060050964
sub-009,A,last60,True,11.123024728054421,0.13186383247375488
sub-010,A,first60,True,11.435363329244224,0.6397322416305542
sub-010,A,middle60,True,11.733992567313923,0.7052298784255981
sub-010,A,last60,True,11.002371127350866,0.9164073467254639
sub-011,A,first60,True,9.831740519922729,0.9035608172416687
sub-011,A,middle60,True,10.440345607578397,0.9723368883132935
sub-011,A,last60,True,10.569425632405517,0.5575509071350098
sub-012,A,first60,True,8.365921343477703,0.2010907679796219
sub-012,A,middle60,True,9.131583127392924,-0.009571194648742676
sub-012,A,last60,True,8.31432728335961,0.3719989061355591
sub-013,A,first60,True,11.558927822001417,0.45172572135925293
sub-013,A,middle60,True,10.664577942821385,0.3799602687358856
sub-013,A,last60,True,12.324567648563393,0.262969434261322
sub-014,A,first60,True,5.185744366107465,-0.3150751292705536
sub-014,A,middle60,True,4.74044697188647,-0.21800875663757324
sub-014,A,last60,True,4.692421589145812,-0.132433220744133
sub-015,A,first60,True,8.323573027603217,0.22097168862819672
sub-015,A,middle60,True,9.517170941666386,0.9960522651672363
sub-015,A,last60,True,9.00775702431757,0.5239338874816895
sub-016,A,first60,True,7.258816339342443,0.02329087071120739
sub-016,A,middle60,True,8.750000000000002,-0.029796801507472992
sub-016,A,last60,True,11.125000000000037,0.023089712485671043
sub-017,A,first60,True,10.19822463763229,0.3149920403957367
sub-017,A,middle60,True,9.782651349076223,0.1084880530834198
sub-017,A,last60,True,9.36771097661047,0.016826247796416283
sub-018,A,first60,True,10.914679212911507,0.18943487107753754
sub-018,A,middle60,True,8.462845025038037,0.16794432699680328
sub-018,A,last60,True,8.646053304894254,0.15185020864009857
sub-019,A,first60,True,11.108679666374922,0.9402661323547363
sub-019,A,middle60,True,10.068351582651228,0.28829434514045715
sub-019,A,last60,True,10.890694042745872,0.2685778737068176
sub-020,A,first60,True,12.079569075061627,0.3252769112586975
sub-020,A,middle60,True,7.4422562624663895,0.011625166051089764
sub-020,A,last60,True,11.753517514806811,0.11814271658658981
sub-021,A,first60,True,,
sub-021,A,middle60,True,5.178110833245427,0.025762690231204033
sub-021,A,last60,True,,
sub-022,A,first60,True,9.279229214253354,0.4030981659889221
sub-022,A,middle60,True,8.865693494241071,0.173600971698761
sub-022,A,last60,True,8.77274470637488,0.13732323050498962
sub-023,A,first60,True,9.650153400641706,0.3416554629802704
sub-023,A,middle60,True,9.98969140911949,0.4947347044944763
sub-023,A,last60,True,9.950357615306354,0.38865354657173157
sub-024,A,first60,True,11.106373119179409,0.1348017305135727
sub-024,A,middle60,True,6.161456965935899,-0.3848789632320404
sub-024,A,last60,True,7.210734899338403,-0.26556241512298584
sub-025,A,first60,True,8.878355184526683,1.1794613599777222
sub-025,A,middle60,True,9.288496092410426,1.692901372909546
sub-025,A,last60,True,9.380616327297984,1.1512402296066284
sub-026,A,first60,True,,
sub-026,A,middle60,True,,
sub-026,A,last60,True,4.500000000000001,-0.024061983451247215
sub-027,A,first60,True,4.385058076149454,-0.16942846775054932
sub-027,A,middle60,True,5.171160775027414,-0.3656404912471771
sub-027,A,last60,True,4.734321912407931,-0.3798540532588959
sub-028,A,first60,True,7.9404445991330155,-0.2802887558937073
sub-028,A,middle60,True,10.59666490894483,-0.12264527380466461
sub-028,A,last60,True,7.04748284277874,-0.2628445029258728
sub-029,A,first60,True,5.469839902590692,-0.09458303451538086
sub-029,A,middle60,True,5.619002394572368,0.06597900390625
sub-029,A,last60,True,7.676725897304017,-0.052216414362192154
sub-030,A,first60,True,7.248109336556836,-0.49614036083221436
sub-030,A,middle60,True,,
sub-030,A,last60,True,4.13104908874456,-0.32234829664230347
sub-031,A,first60,True,8.79616114895891,1.0159252882003784
sub-031,A,middle60,True,9.04677653058044,0.5569154024124146
sub-031,A,last60,True,8.7497933861458,0.728438138961792
sub-032,A,first60,True,10.74729009442836,0.5318176746368408
sub-032,A,middle60,True,6.532245459642846,0.08791503310203552
sub-032,A,last60,True,13.736458342217201,0.2661970555782318
sub-033,A,first60,True,12.23964590180206,0.10151838511228561
sub-033,A,middle60,True,11.482421355713022,0.12456035614013672
sub-033,A,last60,True,11.220244077270056,-0.1018856093287468
sub-034,A,first60,True,7.377071177544732,0.005454300902783871
sub-034,A,middle60,True,11.940520456881101,0.4549823999404907
sub-034,A,last60,True,5.57141102139731,0.08379946649074554
sub-035,A,first60,True,6.627697360045804,-0.1329653412103653
sub-035,A,middle60,True,6.137596488370924,-0.19933058321475983
sub-035,A,last60,True,6.949638928971347,-0.33247727155685425
sub-036,A,first60,True,13.022769634564353,0.21094895899295807
sub-036,A,middle60,True,11.56102793315456,0.15000788867473602
sub-036,A,last60,True,12.909401275066994,0.0415182039141655
sub-037,C,first60,True,8.570495780168098,0.9553672671318054
sub-037,C,middle60,True,8.416777838921012,1.0659984350204468
sub-037,C,last60,True,8.535904213214609,0.7816141843795776
sub-038,C,first60,True,4.4314873103313115,0.03267303481698036
sub-038,C,middle60,True,10.383224812865409,0.8593745231628418
sub-038,C,last60,True,9.748730501044266,0.7234464883804321
sub-039,C,first60,True,8.624791188610061,0.607450008392334
sub-039,C,middle60,True,9.235165130166969,0.5629874467849731
sub-039,C,last60,True,8.506427911188949,0.5985399484634399
sub-040,C,first60,True,8.609236591506123,0.6049138903617859
sub-040,C,middle60,True,8.882246526999209,1.1016830205917358
sub-040,C,last60,True,9.141096701925798,1.5229657888412476
sub-041,C,first60,True,10.70553679702712,0.8818216919898987
sub-041,C,middle60,True,10.506157767042197,0.6269463300704956
sub-041,C,last60,True,4.254897667091235,0.011816976591944695
sub-042,C,first60,True,9.324400323009883,0.8542506098747253
sub-042,C,middle60,True,9.580095412456632,1.0724924802780151
sub-042,C,last60,True,9.336737218849205,0.8164854049682617
sub-043,C,first60,True,10.10696784296731,0.17463873326778412
sub-043,C,middle60,True,9.080521913155858,0.4983348548412323
sub-043,C,last60,True,10.735502370735228,0.0504857636988163
sub-044,C,first60,True,11.123289928446038,1.0013729333877563
sub-044,C,middle60,True,11.268642947983711,1.345347285270691
sub-044,C,last60,True,10.947917669486015,1.2242389917373657
sub-045,C,first60,True,12.632999719588398,0.41694822907447815
sub-045,C,middle60,True,11.416468472636376,0.6931483745574951
sub-045,C,last60,True,11.276180675052409,0.12845326960086823
sub-046,C,first60,True,8.637690828298728,1.004111647605896
sub-046,C,middle60,True,9.568436491330402,1.0289225578308105
sub-046,C,last60,True,9.262842391268439,0.45171114802360535
sub-047,C,first60,True,10.398514292744533,0.5033336877822876
sub-047,C,middle60,True,10.589481810271598,0.7389741539955139
