factor,comparison,n,rho,p
log_posterior_alpha,middle60,65,0.8474213286713287,5.581420730409371e-19
log_posterior_alpha,last60,65,0.8170454545454545,1.0443972394562703e-16
log_frontal_alpha,middle60,65,0.8379807692307691,3.1813352155525508e-18
log_frontal_alpha,last60,65,0.7903846153846154,4.913816382416538e-15
log_posterior_frontal_alpha,middle60,65,0.820236013986014,6.317890736441935e-17
log_posterior_frontal_alpha,last60,65,0.7985576923076922,1.604668989735393e-15
posterior_periodic_alpha,middle60,65,0.7544580419580419,3.9577974031302847e-13
posterior_periodic_alpha,last60,65,0.725743006993007,7.955430462490191e-12
frontal_periodic_alpha,middle60,65,0.7828671328671329,1.3177590864361088e-14
frontal_periodic_alpha,last60,65,0.7175262237762238,1.75342299325744e-11
periodic_alpha_contrast,middle60,65,0.669187062937063,1.1037317050070037e-09
periodic_alpha_contrast,last60,65,0.6708041958041958,9.729498566629191e-10
posterior_exponent,middle60,65,0.7022727272727273,7.08146907502751e-11
posterior_exponent,last60,65,0.6866258741258742,2.714591562239917e-10
frontal_exponent,middle60,65,0.5445804195804196,2.737405689787348e-06
frontal_exponent,last60,65,0.5879807692307691,2.605259803490153e-07
exponent_contrast,middle60,65,0.4349213286713287,0.00029415230998664784
exponent_contrast,last60,65,0.6539772727272728,3.4827750259277934e-09
